time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1737448735.33117247,0.01529044,0.00687291,-nan,2746.00000000,0.01529044,0.000000,0.000000
1737448735.43101048,0.01339706,0.00717406,-nan,4131.00000000,0.01150367,0.000000,0.000000
1737448735.53083825,0.01265277,0.00690385,-nan,5059.00000000,0.01116419,0.000000,0.000000
1737448735.63110375,0.01253553,0.00723328,-nan,5842.00000000,0.01218383,0.000000,0.000000
1737448735.73094583,0.01315550,0.00938974,-nan,6569.00000000,0.01563537,0.000000,0.000000
1737448735.83078980,0.01649440,0.00403225,0.00000642,6946.00000000,0.03318891,0.000000,0.000000
1737448735.93141270,0.01855807,0.00322981,0.00000678,7597.00000000,0.03094006,0.000000,0.000000
1737448736.03124404,0.02119696,0.00424791,0.00000605,8035.00000000,0.03966920,0.000000,0.000000
1737448736.13106680,0.02296476,0.00742031,0.00000626,8511.00000000,0.03710718,0.000000,0.000000
1737448736.23090792,0.02336516,0.00270567,0.00000580,7733.00000000,0.02696871,0.000000,0.000000
1737448736.33114481,0.02340162,0.00290722,0.00000534,8405.00000000,0.02376628,0.000000,0.000000
1737448736.43099165,0.02374195,0.00274338,0.00000546,9013.00000000,0.02748558,0.000000,0.000000
1737448736.53083897,0.02421456,0.00281294,0.00000598,9475.00000000,0.02988585,0.000000,0.000000
1737448736.63147879,0.02481398,0.00368285,0.00000506,9908.00000000,0.03260646,0.000000,0.000000
1737448736.73133516,0.02501556,0.00300737,0.00000560,10266.00000000,0.02783770,0.000000,0.000000
1737448736.83118773,0.02513957,0.00295590,0.00000563,10519.00000000,0.02699964,0.000000,0.000000
1737448736.93103194,0.02541869,0.00352522,0.00000624,10756.00000000,0.02988459,0.000000,0.000000
1737448737.03087258,0.02547491,0.00345552,0.00000614,10951.00000000,0.02643074,0.000000,0.000000
1737448737.13111258,0.02568231,0.00322184,0.00000638,11237.00000000,0.02941556,0.000000,0.000000
1737448737.23095179,0.02590635,0.00344644,0.00000560,11544.00000000,0.03016303,0.000000,0.000000
1737448737.33077955,0.02646152,0.00406116,0.00000652,11767.00000000,0.03756497,0.000000,0.000000
1737448737.43142700,0.02742783,0.00604833,0.00000579,12171.00000000,0.04772021,0.000000,0.000000
1737448737.53126884,0.02800180,0.00588729,0.00000586,12739.00000000,0.04062933,0.000000,0.000000
1737448737.63110995,0.02835423,0.00523116,0.00000672,13386.00000000,0.03645992,0.000000,0.000000
1737448737.73095202,0.02875828,0.00577589,0.00000555,14014.00000000,0.03845548,0.000000,0.000000
1737448737.83079767,0.02931770,0.00715848,0.00000602,14969.00000000,0.04330322,0.000000,0.000000
1737448737.93143702,0.02985864,0.00640807,0.00000651,15753.00000000,0.04392304,0.000000,0.000000
1737448738.03128028,0.03022677,0.00677709,0.00000608,16758.00000000,0.04016630,0.000000,0.000000
1737448738.13112664,0.03078348,0.00911716,0.00000641,17632.00000000,0.04637135,0.000000,0.000000
1737448738.23096967,0.03154911,0.00830613,0.00000750,20008.00000000,0.05375234,0.000000,0.000000
1737448738.33080101,0.03214547,0.01129772,0.00000618,21782.00000000,0.05003653,0.000000,0.000000
1737448738.43144679,0.03251302,0.01028695,0.00000618,23069.00000000,0.04390711,0.000000,0.000000
1737448738.53128743,0.03288666,0.00793997,0.00000698,24850.00000000,0.04484287,0.000000,0.000000
1737448738.63111567,0.03326379,0.01091962,0.00000730,27264.00000000,0.04570935,0.000000,0.000000
1737448738.73095369,0.03401623,0.01326688,0.00000726,28965.00000000,0.05959912,0.000000,0.000000
1737448738.83079600,0.03421861,0.00893579,0.00000621,30533.00000000,0.04130187,0.000000,0.000000
1737448738.93144298,0.03467611,0.01084419,0.00000731,32769.00000000,0.05114598,0.000000,0.000000
1737448739.03127551,0.03518181,0.00965121,0.00000615,34606.00000000,0.05389285,0.000000,0.000000
1737448739.13112903,0.03570828,0.01207802,0.00000721,37123.00000000,0.05571395,0.000000,0.000000
1737448739.23097467,0.03617619,0.01146149,0.00000632,39226.00000000,0.05442502,0.000000,0.000000
1737448739.33080673,0.03645322,0.01075710,0.00000721,41426.00000000,0.04753415,0.000000,0.000000
