fov segment, laser convert, laser ds, map update, optimize, poseEstimate, processMeasurement, pub cloud, 
0.014457,7.46281,2.35544,0.404877,18.8275,0.435328,0.278532,0.814573,
0.012012,6.73142,3.49541,0.16399,28.1508,19.0136,0.050566,0.026261,
0.00901,2.15499,3.89546,0.108745,31.8764,28.2782,0.036737,0.011943,
0.010616,4.50847,4.84832,0.108605,18.761,32.0033,0.052242,0.045538,
0.012013,3.25187,4.56497,0.098687,30.6875,18.8793,0.045886,0.012362,
0.015295,3.79754,4.78603,0.10623,23.2286,30.8166,1.42597,0.0132,
0.019486,3.53012,3.37081,0.139126,35.8257,23.3953,19.4567,0.011943,
0.025772,3.82925,4.36606,0.116567,19.0551,35.9753,29.0791,0.018019,
0.022,3.4901,4.47495,0.099665,19.9574,19.1838,32.9545,0.014457,
0.016623,4.05589,4.79566,0.099735,29.5456,20.081,19.9064,0.01341,
0.021022,3.73036,6.5279,0.227198,24.0127,29.8009,31.527,0.048051,
0.021442,3.52921,4.90175,0.09722,27.5319,24.138,24.3194,0.014807,
0.019486,3.36347,2.73796,0.107209,22.7363,27.666,36.7475,0.014737,
0.021022,3.84385,4.8896,0.100783,20.915,22.8644,20.7478,0.025283,
0.033385,3.33784,4.8104,0.121595,20.3277,21.0779,21.2049,0.015295,
0.025702,4.09675,5.33345,0.108535,17.4589,20.4703,30.8808,0.017251,
0.019905,4.4218,5.16779,0.094008,50.8335,17.5805,25.56,0.012921,
0.042394,3.97467,2.98234,0.109234,39.7166,50.9932,28.3451,0.018718,
0.020882,4.09347,5.70774,0.09785,18.794,39.8401,23.6841,0.01341,
0.023188,5.02726,2.61323,0.103856,20.2423,18.9301,21.859,0.025423,
0.021371,4.39079,4.81047,0.095405,17.122,20.3667,21.3166,0.013479,
0.038203,4.02663,4.954,0.131863,17.7685,17.2993,18.3807,0.035619,
0.022071,3.87898,4.43206,0.08863,17.1929,17.8863,51.7855,0.01362,
0.022979,4.69055,4.64054,0.09792,19.7838,17.3219,40.2188,0.015086,
0.023118,4.03997,4.66192,0.093868,14.3831,19.9088,19.8961,0.01362,
0.033874,4.4197,5.0596,0.094217,12.1223,14.5182,21.3467,0.013829,
0.02256,1.66665,2.31828,0.089539,21.6352,12.2406,18.1196,0.029124,
0.022839,3.38799,5.02195,0.090096,12.7915,21.7553,18.764,0.012991,
0.022769,4.13293,5.10737,0.089398,14.4795,12.9102,18.4432,0.013829,
0.024025,3.70717,6.69279,0.05769,15.6342,14.568,20.9197,0.01334,
0.022768,3.5957,5.14935,0.058039,17.2059,15.722,15.4973,0.013759,
0.025213,3.33093,5.17875,0.061252,14.5405,17.2987,12.6474,0.016274,
0.024235,3.51294,5.01665,0.059296,15.2313,14.6317,22.5332,0.014178,
0.025632,4.85657,6.86167,0.058667,19.5016,15.3243,13.8723,0.014457,
0.023956,4.61868,5.3799,0.06202,21.0731,19.5956,15.2155,0.013409,
0.023537,4.24111,4.91405,0.054896,17.9594,21.16,16.3471,0.014248,
