time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1737278585.83854127,0.01666553,2577,0.00301881,0.00000000,0,0.00000000,0,2564,1291,0.00000000
1737278585.93859577,0.01773224,2573,0.00297572,0.00000000,0,0.00000000,0,3629,1268,0.01076717
1737278586.03847122,0.01862462,2547,0.00345240,0.00000000,0,0.00000000,0,4568,1208,0.00544927
1737278586.13840222,0.03383701,2549,0.00270012,0.00000000,0,0.00000000,0,5260,1110,0.00413944
1737278586.23853970,0.01664632,2553,0.00286628,0.00000000,0,0.00000000,0,5891,1002,0.00348341
1737278586.33870530,0.01987893,2549,0.00264837,0.00000000,0,0.00000000,0,6627,900,0.00727182
1737278586.43851829,0.01686542,2566,0.00288094,0.00000000,0,0.00000000,0,7335,1082,0.00687225
1737278586.53859353,0.01868133,2583,0.00257769,0.00000000,0,0.00000000,0,8059,1003,0.00590975
1737278586.63866901,0.01746411,2525,0.00234323,0.00000000,0,0.00000000,0,8521,689,0.00677489
1737278586.73849988,0.01691955,2523,0.00235635,0.00000000,0,0.00000000,0,9002,802,0.00659232
1737278586.83858728,0.01368730,2512,0.00288828,0.00000000,0,0.00000000,0,9401,833,0.00716224
1737278586.93851995,0.01938556,2616,0.00255324,0.00000000,0,0.00000000,0,9973,1032,0.01053837
1737278587.03887606,0.01916751,2561,0.00309557,0.00000000,0,0.00000000,0,10510,864,0.00785249
1737278587.13869166,0.01830348,2595,0.00350660,0.00000000,0,0.00000000,0,11030,877,0.01094506
1737278587.23883772,0.01961478,2512,0.00248961,0.00000000,0,0.00000000,0,11432,707,0.00674157
1737278587.33873534,0.01860940,2570,0.00249087,0.00000000,0,0.00000000,0,11694,733,0.00744496
1737278587.43891311,0.02103699,2543,0.00262797,0.00000000,0,0.00000000,0,12159,886,0.00406471
1737278587.53872061,0.01746761,2544,0.00224356,0.00000000,0,0.00000000,0,12544,602,0.00368784
1737278587.63881207,0.01920648,2547,0.00193604,0.00000000,0,0.00000000,0,12874,596,0.00644914
1737278587.73896360,0.01840168,2543,0.00203256,0.00000000,0,0.00000000,0,13135,515,0.00675282
1737278587.83871484,0.01832716,2545,0.00207587,0.00000000,0,0.00000000,0,13399,567,0.00762781
1737278587.93895698,0.01947489,2576,0.00261289,0.00000000,0,0.00000000,0,13612,602,0.00740634
1737278588.03932333,0.01561803,2505,0.00213439,0.00000000,0,0.00000000,0,13886,692,0.00877749
1737278588.13888526,0.01984645,2505,0.00223176,0.00000000,0,0.00000000,0,14222,617,0.00727810
1737278588.23984408,0.01989290,2539,0.00296902,0.00000000,0,0.00000000,0,14393,646,0.00362533
1737278588.33891463,0.01707649,2547,0.00180034,0.00000000,0,0.00000000,0,14594,583,0.00880766
1737278588.43879724,0.01739190,2569,0.00211204,0.00000000,0,0.00000000,0,14808,623,0.00664903
1737278588.53887582,0.01848116,2581,0.00206860,0.00000000,0,0.00000000,0,15103,600,0.00719192
1737278588.63889217,0.01710226,2560,0.00212874,0.00000000,0,0.00000000,0,15349,462,0.00595815
